Iteration	Posterior	Likelihood	Prior	rate01	rate_log_sd	tree_length
0	-4301.824	-4583.44	281.6165	1.058195	0.7754103	14.44813
6	-4320.55	-4603.034	282.4847	0.9074031	0.8176504	14.05558
12	-4310.106	-4592.933	282.8268	1.043066	0.8279817	13.80104
18	-4319.303	-4603.728	284.4242	1.0795	0.8373031	12.94836
24	-4305.86	-4589.287	283.4274	0.828987	0.7772932	13.63274
30	-4327.269	-4610.578	283.3093	1.192314	0.7128602	13.53911
36	-4308.857	-4591.187	282.33	0.9965108	0.7691385	14.11297
42	-4314.256	-4596.791	282.5343	0.9520446	0.8398525	13.99394
48	-4327.039	-4611.428	284.3887	0.9623261	0.8398525	13.02555
54	-4330.766	-4614.581	283.8148	0.926882	0.7273284	13.40148
60	-4324.696	-4605.272	280.5758	1.031206	0.6337073	15.07358
66	-4336.272	-4616.68	280.4072	1.04611	0.7877761	15.07358
72	-4318.604	-4603.314	284.7102	0.8914887	0.8696131	12.88188
78	-4308.331	-4589.944	281.6139	1.00209	0.7749355	14.47813
84	-4317.824	-4599.381	281.5575	0.9875371	0.8459145	14.47813
90	-4322.473	-4605.742	283.2696	0.9078485	0.9488574	13.5801
96	-4317.675	-4599.764	282.0881	1.015298	0.9740278	14.12248
102	-4331.564	-4614.628	283.064	0.7608516	0.826034	13.83794
108	-4327.367	-4613.216	285.8489	0.9538606	0.8976424	12.23982
114	-4322.339	-4606.702	284.3635	1.126702	0.8655246	12.94246
120	-4332.978	-4619.132	286.1547	1.208711	0.9843023	11.9094
126	-4329.377	-4615.7	286.3223	1.150898	0.9124113	11.88607
132	-4334.018	-4622.913	288.8948	1.073123	1.048681	10.50588
138	-4318.966	-4603.316	284.3506	1.025887	0.9804163	12.93905
144	-4329.287	-4610.763	281.4762	0.9818013	0.7517042	14.57203
150	-4328.97	-4612.304	283.3337	0.9633515	0.8924236	13.54581
156	-4335.594	-4622.551	286.9572	0.9924871	0.9998562	11.58746
162	-4338.877	-4618.364	279.487	0.9145692	0.8004976	15.61165
168	-4342.952	-4624.002	281.0491	0.9294643	0.8783417	14.75559
174	-4340.146	-4621.178	281.0321	0.9453495	0.8787117	14.75559
180	-4341.101	-4621.83	280.7291	1.052464	0.8832067	14.85454
186	-4335.416	-4617.88	282.4639	1.007472	0.8604349	13.99056
192	-4338.588	-4627.737	289.1493	1.095944	1.085263	10.34176
198	-4357.904	-4648.941	291.0369	1.043927	1.1138	9.358419
204	-4331.831	-4623.713	291.8816	1.153125	1.387811	8.71242
210	-4343.885	-4632.875	288.9897	0.92199	1.058053	10.53074
216	-4334.676	-4618.297	283.6205	1.054632	1.030204	13.27818
222	-4348.372	-4634.919	286.5466	0.9802384	1.073261	11.77007
228	-4338.584	-4617.351	278.7673	1.181925	0.7894874	15.8553
234	-4338.003	-4623.367	285.3636	1.146907	0.8846171	12.4024
240	-4328.099	-4609.51	281.4109	1.014058	0.9764797	14.47272
246	-4332.131	-4616.969	284.8381	1.013593	0.9576139	12.70357
252	-4336.254	-4622.175	285.9204	0.9896973	1.037724	12.1104
258	-4333.355	-4616.588	283.2325	0.9572265	0.9646194	13.56414
264	-4325.229	-4607.177	281.9483	0.8964095	0.8643897	14.31554
270	-4339.487	-4619.816	280.3295	1.024634	0.7905914	15.12314
276	-4343.672	-4627.52	283.8482	0.9732203	0.9246115	13.25662
282	-4358.365	-4640.475	282.1095	0.9732203	0.8377492	14.20391
288	-4353.245	-4636.749	283.5045	1.008706	0.886909	13.43617
294	-4342.225	-4621.582	279.357	1.004294	0.9386092	15.55965
300	-4336.897	-4619.004	282.1073	1.104972	1.027037	14.04053
306	-4328.712	-4609.988	281.2768	0.998314	0.8607805	14.6102
312	-4325.433	-4606.981	281.5479	0.9532358	0.9819775	14.43079
318	-4348.485	-4629.475	280.9901	0.9532358	0.9932024	14.7138
324	-4340.828	-4622.061	281.2324	1.152099	0.7731707	14.60307
330	-4343.547	-4624.372	280.8245	0.8706181	0.7731707	14.95916
336	-4347.323	-4626.289	278.9655	1.162497	0.870066	15.72023
342	-4337.262	-4621.282	284.0196	0.9959739	0.9555428	13.13953
348	-4331.003	-4617.658	286.6552	0.9948387	1.087798	11.69805
354	-4331.925	-4613.999	282.0733	1.075177	0.9848034	14.09454
360	-4319.823	-4603.938	284.1153	0.9958249	1.02737	13.05252
366	-4326.261	-4607.432	281.1711	0.9958249	0.9684626	14.61046
372	-4336.055	-4621.315	285.2599	1.161299	1.004681	12.38715
378	-4328.417	-4611.147	282.7304	1.093177	0.8451283	13.81741
